Course Code ,Course Name,Description ,Prerequisites ,Co-requisites,Credit Hours ,Semester Offered
CSE242 ,Cryptography  ,"Computer Security Concepts: OSI security architecture, security attacks, security services, security mechanisms, network security model",CSE112,,3,FALL
CSE363,Cloud Computing ,"Trends of computing, introduction to distributed computing. Introduction to Cloud Computing: Cloud computing properties and characteristics, service models, deployment models.",CSE261,,3,FALL
CSE344 ,Introduction to Cyber Security  ,"This course provides an overview of Cyberspace, defines the scope of Cybersecurity, and addresses information classification and system compartmentalization. ",,,3,FALL
UE2 ,Elective University (2) ,A flexible course allowing students to explore subjects outside their core curriculum.,,,2,FALL
CSE243 ,Secure Programming,Introduction. Secure code development principles. Best practices. Security strategies and controls. Malicious code and defensive techniques.,CSE241,,3,SPRING
CSE373,Parallel Programming  ,Introduction. Parallel versus distributed algorithms. Message passing and shared memory. ,CSE015 ,,3,SPRING
CSE446 ,"
Information & Computer Networks 
Security  ","Attacks and threats, symmetric key cryptography, public key 
cryptography, authentication protocols, digital signature, viruses, worms",CSE261,,3,SPRING
CSE464 ,Internet of things ,Introduction to IoT. Concepts and architecture. Connected devices. Managing IoT resources in the cloud. ,CSE261,,3,SPRING
CSE392 ,"Field Training 2 in Computer 
Engineering ",Practical industry experience in computer engineering to apply theoretical knowledge and develop professional skills.,CSE291,,2,SPRING
UC6 ,University Requirement (6) ,A mandatory course designed to fulfill essential academic or skill-based criteria set by the university.,,,2,SPRING
E3 ,Elective Course (3) ,"CSE271Introduction to Parallel Computing   
CSE281 Image Processing  
CSE382 Computer Graphics
AIE231 Neural Networks",,,3,FALL
E4 ,Elective Course (4) ,"CSE311 Design of Compilers 
CSE322 Big Data Analytics 1 
CSE335 Real Time & Embedded Systems Design 
CSE383 Computer Vision",,,3,FALL
CSE445 ,Selected Topics in Information Security,Topics which are not included in the curriculum and seems to be needed should be suggested as an elective course by the Program Administration Council and the Faculty Council.,CSE344,,3,FALL
CSE493,Graduation Project 1,"During the first of the two semesters, students will begin their work on the project and are expected to complete at least half the project by the end of the semester.",,,3,FALL
UC7 ,University Requirement (7) ,A mandatory course designed to fulfill essential academic or skill-based criteria set by the university.,,,2,FALL
E5 ,Elective Course (5) ,"AIE322 Advanced Machine Learning 
AIE323 Data Mining 
AIE332 Deep Learning 
AIE351 Robotics Design",,,3,SPRING
E6,Elective Course (6) ,"CSE272 Parallel & Distributed Systems 
CSE425 Big Data Analytics 2 
CSE448 Cyber Forensics 
BMD311 Introduction to Bioinformatics",,,3,SPRING
CSE447,Selected Topics in Computer Security  ,Topics are selected from different areas in Information Security that are not covered in the description of the courses listed in the curriculum.,CSE344,,3,SPRING
CSE494,Graduation Project 2 ,"During the second of the two semesters, students will continue their work on the project and are expected to complete the project by the end of the semester. ",CSE494,,3,SPRING
UE3 ,Elective University (3) ,A flexible course allowing students to explore subjects outside their core curriculum.,,,2,SPRING
